location_name,latitude,longitude,postcode,location_type,Operator
Chadwell Heath,51.56804427,0.128970358,RM6 4BU,mainline_station,TfL Rail
Chafford Hundred Lakeside,51.48564536,0.287236652,RM16 6QQ,mainline_station,Cross Country
Chalfont & Latimer,51.66810927,-0.560519102,HP7 9PR,mainline_station,London Underground
Chalkwell,51.53872272,0.670605258,SS0 8PX,mainline_station,Cross Country
Chandlers Ford,50.98299772,-1.384401049,SO53 4DD,mainline_station,South West Trains
Chapel-en-le-Frith,53.31224546,-1.918769577,SK23 0XT,mainline_station,Northern
Chapelton (Devon),51.01582131,-4.02437053,EX37 9DZ,mainline_station,Great Western
Chapeltown (South Yorks),53.46235417,-1.466268507,S35 2UU,mainline_station,Northern
Chappel & Wakes Colne,51.92592031,0.758518905,CO6 2DS,mainline_station,Greater Anglia
Charing (Kent),51.20810222,0.790345573,TN27 0JA,mainline_station,Southeastern
Charing Cross (Glasgow),55.86466734,-4.269812977,G2 3HW,mainline_station,Scotrail
Charlbury,51.8724362,-1.489697044,OX7 3HH,mainline_station,Great Western
Charlton,51.48686666,0.03098034,SE7 7QG,mainline_station,Southeastern
Chartham,51.25726956,1.01806042,CT4 7HT,mainline_station,Southeastern
Chassen Road,53.44617874,-2.368237145,M41 9DY,mainline_station,Northern
Chatelherault,55.76520989,-4.004661095,ML3 7UD,mainline_station,Scotrail
Chatham,51.38037808,0.521158168,ME4 6PN,mainline_station,Southeastern
Chathill,55.53672988,-1.706378108,NE67 5DE,mainline_station,Northern
Cheadle Hulme,53.37594578,-2.188302225,SK8 5AF,mainline_station,Northern
Cheam,51.35547926,-0.214166523,SM2 7AJ,mainline_station,GTR
Cheddington,51.85792469,-0.662146256,LU7 0SQ,mainline_station,West Midlands Trains
Chelford (Cheshire),53.27086569,-2.279608703,SK11 9AX,mainline_station,Northern
Chelmsford,51.73638236,0.468580339,CM1 1HT,mainline_station,Greater Anglia
Chelsfield,51.3562555,0.109079893,BR6 6EU,mainline_station,Southeastern
